[23/04/2016:00:06:06 +0200] 160 0:0:0:0:0:0:0:1 200 / nil nil :http :post Mozilla/5.0 (Windows NT 10.0; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0 
[23/04/2016:00:06:36 +0200] 43 0:0:0:0:0:0:0:1 200 / nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0 
[23/04/2016:00:07:33 +0200] 63 0:0:0:0:0:0:0:1 200 / nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0 
[23/04/2016:00:07:36 +0200] 60002 0:0:0:0:0:0:0:1 200 /__source_changed nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0 
[23/04/2016:00:07:41 +0200] 59 0:0:0:0:0:0:0:1 200 / nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0 
[23/04/2016:00:07:43 +0200] 51 0:0:0:0:0:0:0:1 200 / nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0 
[23/04/2016:00:08:33 +0200] 60002 0:0:0:0:0:0:0:1 200 /__source_changed nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0 
[23/04/2016:00:08:41 +0200] 60002 0:0:0:0:0:0:0:1 200 /__source_changed nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0 
[23/04/2016:00:08:43 +0200] 60001 0:0:0:0:0:0:0:1 200 /__source_changed nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0 
[23/04/2016:00:09:43 +0200] 60003 0:0:0:0:0:0:0:1 200 /__source_changed nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0 
[23/04/2016:00:09:51 +0200] 21 0:0:0:0:0:0:0:1 404 /favicon.ico nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0 
