[05/05/2016:00:57:31 +0200] 227 0:0:0:0:0:0:0:1 200 / nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[05/05/2016:00:57:47 +0200] 54 0:0:0:0:0:0:0:1 200 /session nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[05/05/2016:00:58:31 +0200] 60005 0:0:0:0:0:0:0:1 200 /__source_changed nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[05/05/2016:01:04:56 +0200] 42 0:0:0:0:0:0:0:1 404 /session nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[05/05/2016:01:05:04 +0200] 0:0:0:0:0:0:0:1 /session Wrong number of args (0) passed to: session/get 
[05/05/2016:01:07:37 +0200] 35 0:0:0:0:0:0:0:1 200 /session nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[05/05/2016:01:08:27 +0200] 0:0:0:0:0:0:0:1 /session Don't know how to create ISeq from: clojure.lang.Atom 
[05/05/2016:01:09:09 +0200] 32 0:0:0:0:0:0:0:1 404 /session nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[05/05/2016:01:10:12 +0200] 32 0:0:0:0:0:0:0:1 404 /session nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[05/05/2016:01:18:05 +0200] 32 0:0:0:0:0:0:0:1 200 /session nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[05/05/2016:01:18:05 +0200] 8 0:0:0:0:0:0:0:1 304 /css/screen.css nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[05/05/2016:01:18:05 +0200] 1 0:0:0:0:0:0:0:1 304 /img/bg_guestbook.jpg nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[05/05/2016:01:18:05 +0200] 2 0:0:0:0:0:0:0:1 200 /__source_changed nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
